tax,abundance_log10,res,LDA_score,p_value
Ruminococcus_bicirculans,3.741182748,PD,3.414525308,0.035225348
Bacteroides_intestinalis,2.822184138,PD,2.539029539,0.01994143
Porphyromonas_asaccharolytica,2.192172934,PD,3.360610797,0.006369847
Bifidobacterium_animalis,2.754287622,PD,2.552236512,0.006369847
Bacteroides_fragilis,4.30350322,PD,3.816537144,0.029206132
bacterium_R78,1.628202297,PD,3.514504311,0.000365871
Bacteroides_cellulosilyticus,3.005548234,PD,2.74058616,0.027470127
Clostridium_saccharogumia,2.530115255,SD,2.29972746,0.00016205
Bacteroides_coprophilus,2.31946371,SD,2.266768665,0.048488002
Dorea_formicigenerans,3.727845955,PR,3.16658611,0.013236019
Akkermansia_muciniphila,3.948600692,PD,3.619749366,2.13E-05
Corynebacterium_durum,2.223486636,SD,2.267132049,0.010217165
Desulfovibrio_legallii,2.772556883,SD,2.475402464,0.000753328
Actinomyces_urogenitalis,2.400907716,PD,3.069368704,0.006369847
Eubacterium_rectale,3.853809172,PR,3.539893469,0.001568616
Megamonas_funiformis,2.46880326,PR,2.249137406,0.027026768
Veillonella_dispar,3.531068823,PR,3.214141969,0.03995841
Schaalia_odontolytica,3.449690059,SD,2.948169378,0.033754303
Bifidobacterium_dentium,3.954037444,SD,3.589920548,0.008727992
Bacteroides_dorei,3.856575748,PR,3.503453655,0.016664534
Parabacteroides_merdae,4.484892944,PD,4.046771975,0.02168891
Alistipes_onderdonkii,4.146367626,SD,3.657423112,0.038221774
Holdemania_massiliensis,1.615227028,PD,2.671835591,0.005083788
Roseburia_intestinalis,3.669469207,PD,3.307876528,2.32E-05
Alistipes_shahii,3.467694626,PD,3.135354648,0.006343973
Collinsella_tanakaei,2.826089115,PD,2.607661456,3.22E-05
Peptoniphilus_grossensis,2.115342087,PD,2.084964281,0.005586373
Prevotella_buccae,3.017998102,PR,2.716791996,0.005516644
Coprobacter_secundus,2.915695632,PD,3.165755746,0.006369847
Sneathia_amnii,2.106292753,PD,3.216882538,0.006369847
Eubacterium_siraeum,3.052932827,PD,2.840777803,0.005083788
Bacteroidales_bacterium,1.454406179,PD,3.080122519,0.006369847
Dialister_propionicifaciens,2.045165143,PD,3.102349159,0.006369847
