,D23CT890-A21,D23CT891-A22,D23CT892-A23,D23CT893-A24,D23CT894-A25,D23CT895-A26,D23CT896-A27,D23CT897-A28,D23CT898-A29,D23CT899-A30,D23CT900-B21,D23CT901-B22,D23CT902-B23,D23CT903-B24,D23CT904-B25,D23CT905-B26,D23CT906-B27,D23CT907-B28,D23CT908-B29,D23CT909-B30,D23CT910-C21,D23CT911-C22,D23CT912-C23,D23CT913-C24,D23CT914-C25,D23CT915-C26,D23CT916-C27,D23CT917-C28,D23CT918-C29,D23CT919-C30,ZTPSN23OJ963-A1,ZTPSN23OJ964-B1,ZTPSN23OJ965-C1,ZTPSN23OJ966-A2,ZTPSN23OJ967-B2,ZTPSN23OJ968-C2,ZTPSN23OJ969-A3,ZTPSN23OJ970-B3,ZTPSN23OJ971-C3,ZTPSN23OJ972-A4,ZTPSN23OJ973-B4,ZTPSN23OJ974-C4,ZTPSN23OJ975-A5,ZTPSN23OJ976-B5,ZTPSN23OJ977-C5,ZTPSN23OJ978-A6,ZTPSN23OJ979-B6,ZTPSN23OJ980-C6,ZTPSN23OJ981-A7,ZTPSN23OJ982-B7,ZTPSN23OJ983-C7,ZTPSN23OJ984-A8,ZTPSN23OJ985-B8,ZTPSN23OJ986-C8,ZTPSN23OJ987-A9,ZTPSN23OJ988-B9,ZTPSN23OJ989-C9,ZTPSN23OJ990-A10,ZTPSN23OJ991-B10,ZTPSN23OJ992-C10,ZTPSN23OJ993-A11,ZTPSN23OJ994-B11,ZTPSN23OJ995-C11,ZTPSN23OJ996-A12,ZTPSN23OJ997-B12,ZTPSN23OJ998-C12,ZTPSN23OJ999-A13,ZTPSN23OK000-B13,ZTPSN23OK001-C13,ZTPSN23OK002-A14,ZTPSN23OK003-B14,ZTPSN23OK004-C14,ZTPSN23OK005-A15,ZTPSN23OK006-B15,ZTPSN23OK007-C15,ZTPSN23OK008-A16,ZTPSN23OK009-B16,ZTPSN23OK010-C16,ZTPSN23OK011-A17,ZTPSN23OK012-B17,ZTPSN23OK013-C17,ZTPSN23OK014-A18,ZTPSN23OK015-B18,ZTPSN23OK016-C18,ZTPSN23OK017-A19,ZTPSN23OK018-B19,ZTPSN23OK019-C19,ZTPSN23OK020-A20,ZTPSN23OK021-B20,ZTPSN23OK022-C20,tax
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Escherichia_sp.,1340,1646,8406,209,1972,926,2311,180,11583,574,1193,5895,461,37,6378,5561,3270,341,13949,89,3728,15322,1275,8820,1723,4314,0,1769,5898,146,1051,927,484,1880,1241,5556,945,5945,10616,1859,3158,6208,8131,363,276,30,3015,5366,398,27,165,286,39,7535,473,7335,406,3100,5803,6026,545,2607,4450,1279,7558,13925,195,129,13,4281,8543,59,403,1283,148,130,86,4491,21,0,639,19113,31121,13449,2387,131,544,72,81,278,Escherichia_sp.
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius,3507,3319,403,412,851,476,1139,8287,839,0,7962,2397,671,86,2629,1336,525,5588,964,2237,9434,316,365,528,340,610,80,144,1536,1299,3362,1809,743,2958,10473,9363,5778,3429,408,251,304,407,0,0,1,5634,2071,394,4367,67,84,46,76,491,801,9321,161,1346,745,1281,1712,691,752,342,1627,2181,1713,38,345,2368,2091,0,15056,9496,832,0,2025,0,232,1218,15787,2250,2509,1683,0,29,0,156,7082,3668,Streptococcus_salivarius
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_phage,85,0,1843,0,1450,30,3312,179,565,0,420,34,572,0,309,196,0,365,0,365,179,0,497,0,439,545,205,954,130,258,199,1002,1035,0,0,0,75,46,0,0,0,0,4032,1933,1577,0,93,303,0,0,182,0,0,0,10754,3035,3062,608,0,368,102,983,3258,0,0,9,13940,25,1495,269,34,0,597,1136,9147,4,0,0,4514,0,0,0,328,289,32,738,0,0,1051,854,Lactobacillus_phage
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens,773,73,244,0,0,186,134,205,196,113,1178,114,124,0,0,46,233,233,697,0,518,53,160,0,0,123,0,79,100,0,871,720,495,267,1058,492,129,121,49,0,0,0,246,70,0,279,274,191,0,0,0,0,3,0,0,0,0,0,0,0,94,125,123,180,23,504,124,258,67,164,178,0,553,430,501,0,0,7,794,959,343,0,0,0,0,0,0,0,0,0,Collinsella_aerofaciens
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Citrobacter_europaeus,150,274,85,25,963,4067,1583,11217,81,87,299,175,13162,285,423,909,285,4348,34,34,227,41,12782,247,119,621,15,229,293,0,20,387,191,473,11,66,397,141,2,53,114,21,40,16103,17710,638,1093,933,189,24,0,7,898,195,316,887,236,1699,409,235,5372,2454,2154,3803,437,108,35,130,477,3335,671,34,4200,813,2790,19587,8585,0,17,0,1098,0,0,440,78,0,64,0,0,12,Citrobacter_europaeus
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia_wexlerae,202,137,7,140,146,142,174,586,557,0,311,327,148,346,159,219,707,348,386,498,274,795,184,114,196,90,2,153,173,290,282,247,116,345,832,653,419,819,1246,42,194,345,120,103,99,323,241,370,1422,807,266,70,520,0,680,0,805,225,381,0,381,275,105,148,212,374,770,1277,170,0,971,0,728,934,1086,2231,620,154,469,386,4236,2003,3111,0,0,1241,250,0,780,698,Blautia_wexlerae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_catenulatum,67,170,0,0,0,195,0,0,75,0,155,208,48,286,0,328,0,0,930,469,140,207,188,0,0,157,54,0,34,0,178,480,559,0,0,0,217,234,69,292,776,2123,0,0,0,0,400,812,0,0,0,0,1244,0,0,0,0,0,0,0,2874,1258,664,0,0,21,0,0,152,0,0,0,35,0,59,0,0,0,236,3727,521,0,0,0,0,1911,0,0,0,0,Bifidobacterium_catenulatum
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_onderdonkii,91,0,132,52,0,0,0,0,108,206,0,0,0,0,0,103,0,0,0,304,0,0,31,0,0,33,595,221,0,643,110,49,0,0,0,0,0,0,0,0,0,0,273,0,0,26,137,217,0,0,0,46,0,0,0,0,0,0,0,0,72,0,91,0,308,34,0,0,35,213,80,4339,0,0,0,0,0,926,487,0,0,209,0,0,527,0,0,0,3772,3608,Alistipes_onderdonkii
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis,147,0,167,0,46,63,13,0,203,1297,113,0,105,0,9,36,28,87,18,64,62,0,668,13,451,0,18,0,611,49,188,64,176,39,0,0,0,0,2,0,0,0,280,0,0,0,120,881,0,0,0,0,0,8,109,0,1500,0,0,0,78,0,0,87,30,0,0,0,0,0,3,91,0,68,0,0,0,0,0,0,0,542,13,1734,4458,120,62,0,0,0,Bacteroides_fragilis
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_anginosus,186,105,108,0,24,0,50,22,52,24,210,60,1033,0,174,138,96,64,733,41,200,15,1921,100,68,139,6,637,53,50,110,129,0,407,374,331,156,95,14,0,36,89,74,1353,1974,299,835,1615,181,0,0,0,0,181,179,1157,262,0,34,46,132,91,267,0,58,52,43,75,49,42,340,0,89,11,34,0,331,2181,79,1701,585,34,134,52,29,93,19,0,175,128,Streptococcus_anginosus
